,ndcg_cut_5,ndcg_cut_10,ndcg_cut_20,ndcg_cut_50,ndcg_cut_100,map_cut_5,map_cut_10,map_cut_20,map_cut_50,map_cut_100,recall_5,recall_10,recall_20,recall_50,recall_100,P_5,P_10,P_20,P_50,P_100
embedding_by_gte-large-zh,6.109960951770569,7.669976752947658,9.072484828346031,11.640843341808155,14.062719097437457,3.735742063492065,4.285861231361236,4.5969120471722675,4.965488854373513,5.1840098437320865,7.948571428571429,11.91301948051948,15.877146464646476,24.629307359307333,34.53638528138523,3.7799999999999994,2.950000000000012,2.120000000000015,1.5079999999999825,1.1429999999999847
embedding_by_bge-large-zh-v1.5,22.334812676323217,24.28919711438545,26.476659575650228,29.046205541857713,31.223209512642807,15.373847703222696,16.37750393675988,17.07792429424162,17.572775682590887,17.82431083498559,21.525440115440095,26.568856421356404,32.04282467532463,40.46208152958143,49.15336580086573,12.520000000000103,8.289999999999981,5.3399999999999626,2.819999999999963,1.7629999999999864
embedding_by_gte-large-zh_manual_1K_no_ins_tuning,4.2654256404835404,5.621645434801919,7.165716105247436,9.15177838571594,10.459504292782992,2.411847222222223,2.914379724111869,3.2959182139035703,3.624424503767242,3.746160943130164,4.761706349206352,8.120595238095243,12.221832611832617,19.4496103896104,25.059094516594513,3.1199999999999926,2.6700000000000057,2.1250000000000124,1.3079999999999878,0.8479999999999918
embedding_by_bge-large-zh-v1.5_manual_1K_no_ins_tuning,5.159926105186018,6.759744493174715,8.689365365863095,11.80423777668452,13.86035113397045,2.7506402717652723,3.3719025544561276,3.8991858385637457,4.3894646328736595,4.624268123413959,5.135523088023093,9.040205627705634,14.334098124098121,26.109819624819607,34.402160894660874,4.180000000000001,3.5900000000000127,2.7450000000000117,1.8219999999999825,1.2409999999999863
embedding_by_stella-large-zh-v2_manual_1K_no_ins_tuning,14.249710326187046,16.599920255865364,18.506832262816935,20.469767682444594,22.8549818477565,8.444186207311217,9.480367235277953,9.979409644572868,10.329829038193626,10.628275984103555,14.684610389610393,21.332983405483404,26.36933261183261,32.98437229437228,42.3204473304473,9.920000000000071,6.800000000000035,4.354999999999987,2.2459999999999707,1.531999999999981
embedding_by_Baichuan2-7B-Chat_checkpoint-none,22.458075888268123,23.60305093979717,25.697091424737504,29.130441703896963,31.868759642368676,16.061532828282825,16.607257392519294,17.192938646365324,17.849321609056474,18.207196072412902,20.149769119769104,23.312312409812396,28.7315187590187,39.8456168831168,50.67193001442994,11.180000000000097,6.9200000000000355,4.539999999999987,2.741999999999962,1.8209999999999873
embedding_by_Baichuan2-7B-Chat_manual_1K_ins_0.2_2_1e-4_16_prompt0_#-以-上-内-容-的-总-结-#_checkpoint-final,29.407899470335998,30.95088182093832,33.066211898978025,37.49592266912616,41.5778439842368,20.02341354016352,21.102982211571465,21.855978412780487,22.99703201241161,23.67748904976417,26.502308802308782,31.03946248196243,36.250144300144235,50.50099567099565,66.72703823953823,16.959999999999955,10.609999999999909,6.519999999999939,3.8459999999999948,2.5790000000000046
embedding_by_Baichuan2-7B-Chat_manual_1K_ins_0.0_2_1e-4_16_prompt0_#-以-上-内-容-的-总-结-#_checkpoint-final,29.397576691719074,30.25588931126967,32.54144745318957,35.075151117666444,38.79273816210364,19.986463383838398,20.772552376085123,21.569399655579872,22.19251162294145,22.733290362077444,27.039613997113968,30.393232323232287,35.90112914862908,43.92369047619044,58.97258658008658,17.25999999999995,10.199999999999925,6.414999999999943,3.285999999999965,2.2439999999999976
embedding_by_Baichuan2-7B-Chat_manual_1K_no_ins_0.2_2_1e-4_16_prompt0_#-以-上-内-容-的-总-结-#_checkpoint-final,32.68066720160308,35.88267677806537,40.06682492861465,45.71430139005338,48.65280298301267,22.57640157527656,24.634936101376578,26.432654965133082,27.98654395760813,28.498761870566454,27.919935064935007,35.694743867243794,46.00273809523807,64.72386002886,76.39914502164503,17.83999999999991,12.569999999999894,8.55999999999994,4.922000000000001,2.938000000000008
embedding_by_Baichuan2-7B-Chat_manual_1K_single_ins_0.2_2_1e-4_16_prompt0_#-以-上-内-容-的-总-结-#_checkpoint-final,30.232470264858307,31.740280230187828,33.8661583553246,37.689726781957326,42.24057869101194,20.67446368446369,21.773453275670548,22.524690372807235,23.444534953697644,24.19902501111012,26.57989538239537,30.962593795093756,36.089632034631975,48.4636219336219,66.59822871572867,16.87999999999994,10.53999999999991,6.494999999999938,3.695999999999986,2.577000000000005
