,ndcg_cut_5,ndcg_cut_10,ndcg_cut_20,ndcg_cut_50,ndcg_cut_100,map_cut_5,map_cut_10,map_cut_20,map_cut_50,map_cut_100,recall_5,recall_10,recall_20,recall_50,recall_100,P_5,P_10,P_20,P_50,P_100
embedding_by_ember-v1,6.713062621258977,8.70829716146384,11.08660678085882,15.124038584704833,17.75196098358669,4.754037037037038,5.563351851851854,6.205892347829148,6.887517195836369,7.161751395555548,8.831111111111113,14.08444444444444,22.315555555555566,39.737777777777765,53.62,3.1999999999999926,2.5466666666666664,1.9866666666666737,1.4266666666666528,0.9626666666666562
embedding_by_gte-large,6.961724767000373,9.425783373692322,12.1618210914026,15.821091551584761,18.808128404080694,5.0399629629629645,6.015008818342157,6.806208269733559,7.413677041824617,7.716971851271816,8.968888888888891,15.466666666666661,24.706666666666663,40.44444444444442,56.33111111111113,3.2266666666666595,2.8133333333333352,2.2400000000000087,1.4826666666666528,1.025333333333322
embedding_by_stella-base-en-v2,6.137580694318811,8.217187924475022,10.392545158488593,14.196168183903785,17.122020509872762,4.186962962962963,5.015653439153443,5.62047538063741,6.263183851508601,6.564684736762097,8.302222222222227,13.813333333333329,21.20888888888889,37.38000000000001,52.793333333333365,3.0666666666666607,2.5199999999999974,1.9266666666666725,1.365333333333321,0.9613333333333227
embedding_by_e5-large-v2,4.684617030142267,6.4072528168475955,8.653464561785418,11.777288194451248,14.666590292792513,3.3051851851851857,3.9516137566137606,4.547151787172429,5.037919381131804,5.334399984370609,6.284444444444446,10.88888888888889,18.586666666666666,32.0888888888889,46.973333333333336,2.2399999999999967,1.9733333333333287,1.6733333333333384,1.1679999999999915,0.8759999999999916
embedding_by_instructor-xl,6.998062429172051,9.992312824033213,12.95332769713801,17.42452273989303,20.303811056153084,4.936851851851851,6.126687830687833,6.982872492450417,7.788683967049703,8.092627428900364,9.235555555555555,17.268888888888885,27.50444444444445,46.6422222222222,61.726666666666674,3.5466666666666593,3.1866666666666728,2.500000000000012,1.7013333333333167,1.1279999999999877
embedding_by_gte-large_manual_1K_no_ins_en_tuning,5.494849093924327,7.082445615977707,9.35174761297443,12.485133577523461,15.371847708875,3.8097777777777786,4.409455908289242,5.008234005015745,5.518813445665219,5.79559822189189,7.591111111111111,11.728888888888886,19.597777777777782,33.00222222222224,47.895555555555575,2.7199999999999944,2.1199999999999948,1.7400000000000055,1.1999999999999904,0.8959999999999908
embedding_by_bge-large-en-v1.5_manual_1K_no_ins_en_tuning,6.1292573046198005,7.75123071356446,9.36481679421689,12.499653454206365,15.793166140644214,4.721666666666666,5.318477954144624,5.735334925365894,6.2416566944500955,6.581303632130323,7.131111111111112,11.457777777777773,17.122222222222216,30.517777777777795,47.382222222222246,2.5599999999999956,2.053333333333329,1.5000000000000024,1.1119999999999919,0.8879999999999914
embedding_by_stella-base-en-v2_manual_1K_no_ins_en_tuning,7.647436440085184,9.71570490947549,12.143131376630702,15.897790062975698,19.334005615278688,5.692148148148146,6.449280423280424,7.130356627682226,7.789642633488866,8.140491575181551,9.608888888888886,14.944444444444443,23.104444444444443,39.26,57.188888888888876,3.439999999999993,2.8133333333333352,2.180000000000007,1.45333333333332,1.0639999999999887
embedding_by_llama-2-7b-chat-hf_checkpoint-none,4.272144410255321,5.347466232292413,6.7826708731685335,8.730817886641422,10.3093283388161,3.182777777777778,3.5655511463844816,3.9251047115652424,4.2166417457059895,4.351836192756753,5.153333333333335,8.028888888888892,12.868888888888886,21.497777777777785,29.648888888888905,1.9733333333333312,1.533333333333331,1.2199999999999993,0.7813333333333295,0.5479999999999959
embedding_by_llama-2-7b-chat-hf_manual_1K_ins_en_0.2_2_1e-4_16_prompt0_summary-of-above_checkpoint-final,11.463187915322361,13.81749458513981,16.108423432730163,19.90927933291919,23.398013014056836,8.81314814814815,9.723093474426808,10.389608525843304,11.0464714727889,11.414343554944212,13.268888888888883,19.753333333333334,27.422222222222235,43.89555555555553,62.153333333333336,4.799999999999995,3.506666666666676,2.4733333333333447,1.5919999999999839,1.133333333333321
embedding_by_llama-2-7b-chat-hf_manual_1K_ins_en_0.0_2_1e-4_16_prompt0_summary-of-above_checkpoint-final,10.829505191425408,12.697370584923545,15.263027529853524,19.106162911586026,22.6850796876563,8.185370370370373,8.948223985890657,9.65919798091677,10.311569239354759,10.695882115726674,12.908888888888884,17.864444444444445,26.69555555555556,43.34444444444441,61.975555555555545,4.639999999999994,3.2266666666666723,2.3866666666666783,1.5679999999999839,1.1346666666666545
embedding_by_llama-2-7b-chat-hf_manual_1K_no_ins_en_0.2_2_1e-4_16_prompt0_summary-of-above_checkpoint-final,3.5652668957000655,5.658025530621429,8.412225705500063,12.158461013875405,14.841380461973943,2.333703703703704,3.1383465608465624,3.8362248536350743,4.450252209626452,4.721567614234662,5.76,11.475555555555557,20.640000000000004,36.73333333333335,50.54666666666663,1.8933333333333313,1.8799999999999961,1.840000000000006,1.3306666666666545,0.9373333333333235
embedding_by_llama-2-7b-chat-hf_manual_1K_single_ins_en_0.2_2_1e-4_16_prompt0_summary-of-above_checkpoint-final,9.606782688221413,11.729925901717257,13.879193701751293,16.722106959119664,20.362620720980125,7.275555555555559,8.117561728395067,8.716023570894578,9.204249827133935,9.563310863917792,11.597777777777775,17.248888888888885,24.517777777777784,36.59111111111111,55.762222222222206,4.159999999999991,3.080000000000005,2.1800000000000077,1.343999999999988,1.0253333333333223
